group_by_key,Unnamed: 0,Area(sq km),Birth rate(births/1000 population),Current account balance,Death rate(deaths/1000 population),Debt - external,Electricity - consumption(kWh),Electricity - production(kWh),Exports,GDP,GDP - per capita,GDP - real growth rate(%),HIV/AIDS - adult prevalence rate(%),HIV/AIDS - deaths,HIV/AIDS - people living with HIV/AIDS,Highways(km),Imports,Industrial production growth rate(%),Infant mortality rate(deaths/1000 live births),Inflation rate (consumer prices)(%),Internet hosts,Internet users,Investment (gross fixed)(% of GDP),Labor force,Life expectancy at birth(years),Military expenditures - dollar figure,Military expenditures - percent of GDP(%),Natural gas - consumption(cu m),Natural gas - exports(cu m),Natural gas - imports(cu m),Natural gas - production(cu m),Natural gas - proved reserves(cu m),Oil - consumption(bbl/day),Oil - exports(bbl/day),Oil - imports(bbl/day),Oil - production(bbl/day),Oil - proved reserves(bbl),Population,Public debt(% of GDP),Railways(km),Reserves of foreign exchange & gold,Telephones - main lines in use,Telephones - mobile cellular,Total fertility rate(children born/woman),Unemployment rate(%)
#,79.0,3976372.0,10.1,0.0,10.1,0.0,2661000000000.0,2888000000000.0,1109000000000.0,11650000000000.0,26900.0,2.4,0.0,0.0,0.0,4634810.0,1123000000000.0,2.4,5.2,2.1,22000414.0,206032067.0,19.5,215000000.0,78.2,0.0,0.0,467700000000.0,78100000000.0,297800000000.0,242600000000.0,3256000000000.0,14540000.0,5322000.0,15690000.0,2648000.0,28210000000.0,457030418.0,0.0,222293.0,0.0,238763162.0,314644700.0,1.48,9.5
A,9.0,1703543.0,15.818235294117649,-1640663529.4117646,7.40764705882353,30995400000.0,22890229411.764706,24056323529.411766,16130235294.117647,98493647058.82353,10500.0,4.1000000000000005,0.31235294117647056,1376.4705882352941,23947.058823529413,85857.23529411765,15004523529.411764,3.2588235294117647,35.06058823529412,5.2294117647058815,234589.41176470587,1081500.0,13.541176470588235,3744973.470588235,58.080588235294115,625087058.8235294,1.8758823529411766,5497647058.823529,4363352941.176471,496058823.5294118,9338882352.941177,478474470588.2353,115029.41176470589,32874.705882352944,46958.82352941176,223998.23529411765,2480834705.882353,9188509.352941176,15.052941176470588,5582.176470588235,6725058823.529411,1582770.5882352942,1866887.4705882352,2.139411764705882,7.135294117647058
B,29.5,497472.0833333333,18.294166666666666,720229166.6666666,9.062083333333334,13063316666.666666,22652797500.0,22528311666.666668,16955126666.666666,100884208333.33333,9916.666666666666,3.079166666666667,2.4791666666666665,5439.583333333333,83947.75,98775.45833333333,15199912500.0,4.116666666666666,33.28958333333333,4.070833333333334,142634.41666666666,877212.5,10.6,8666072.5,53.39291666666667,767713750.0,1.9170833333333333,4028840416.6666665,846833333.3333334,1818333333.3333333,3233465416.6666665,163525149583.33334,146235.0,28994.0,60467.916666666664,88946.04166666667,790904541.6666666,18665750.833333332,12.729166666666666,2334.8333333333335,3826391250.0,2227966.6666666665,2668319.7083333335,2.4066666666666667,9.183333333333334
C,53.0,1189752.2608695652,19.50086956521739,2138014782.6086957,8.355217391304349,44203408695.652176,100100070434.78261,116402036956.52174,45228248260.86957,399287347826.087,6571.086956521739,4.895652173913044,2.02,13632.391304347826,177468.47826086957,172158.69565217392,41590591304.347824,3.9434782608695653,35.84739130434782,3.5173913043478264,175526.08695652173,5285439.521739131,14.304347826086957,37110754.13043478,53.818260869565215,3856434782.6086955,1.77,4864304347.826087,3979173913.0434785,1072521739.1304348,9197826086.956522,191629239130.43478,358754.347826087,79324.78260869565,165860.86956521738,336196.47826086957,8741928260.869566,67570719.13043478,19.47826086956522,6720.869565217391,31449131304.347828,13177005.0,13564318.47826087,2.614347826086956,10.747826086956522
D,67.0,23141.8,18.07,1458240000.0,8.796,5994500000.0,8154604000.0,9242282000.0,15740000000.0,46216600000.0,9060.0,1.26,0.96,1738.0,20420.0,17623.4,14461240000.0,-0.6599999999999999,31.044,11.879999999999999,257101.0,655000.0,7.74,635400.0,52.525999999999996,696040000.0,1.4,1056000000.0,620000000.0,0.0,1676000000.0,16396000000.0,71780.0,66420.0,64980.0,69240.0,246000000.0,2985620.2,20.72,969.0,7681200000.0,909020.0,1387620.0,2.3920000000000003,19.240000000000002
E,74.0,293645.44444444444,24.83777777777778,-95922222.22222222,8.383333333333333,7464888888.888889,18246691111.11111,19713476666.666668,3435137777.7777777,53119333333.333336,3544.4444444444443,5.911111111111111,1.4111111111111112,14607.777777777777,181744.44444444444,24128.555555555555,4911777777.777778,7.044444444444444,43.55,4.977777777777778,10430.444444444445,483333.3333333333,19.566666666666666,3183333.3333333335,56.96111111111111,447300000.0,3.244444444444445,2516666666.6666665,0.0,141111111.1111111,2375555555.5555553,161276666666.66666,87222.22222222222,43000.0,0.0,179788.88888888888,852412666.6666666,19788757.777777776,22.11111111111111,917.4444444444445,2227352222.2222223,1332777.7777777778,1151333.3333333333,3.2577777777777777,13.100000000000001
F,83.5,127501.625,12.122499999999999,1385625000.0,5.33625,3931512500.0,61872640000.0,75252395000.0,60192250000.0,237572375000.0,17050.0,2.3375,0.07500000000000001,162.5,15262.5,122380.875,58523750000.0,1.4625,5.9,2.0374999999999996,452693.75,3083525.0,4.6875,3831393.75,57.46,5884262500.0,0.8500000000000001,5820875000.0,215625000.0,5603375000.0,237250000.0,1607500000.0,282381.25,63825.0,324912.5,4365.0,18037500.0,8411111.75,14.3125,4827.875,10241250000.0,4585537.5,5843987.5,1.6975,7.675000000000001
G,96.5,214007.44444444444,21.844444444444445,3522370555.5555553,8.867222222222223,5133083333.333333,32817144444.444443,35163572777.77778,51207844444.44444,153174555555.55554,10905.555555555555,2.6722222222222225,1.6444444444444446,2888.8888888888887,39222.22222222222,26960.277777777777,44084138888.888885,1.7999999999999998,30.602777777777778,4.344444444444445,162518.83333333334,2325227.777777778,11.127777777777778,3834599.4444444445,63.904444444444444,2304722222.2222223,0.8772222222222222,5711722222.222222,429500000.0,4896555555.555555,1176388888.8888888,20730994444.444443,196883.33333333334,5600.777777777777,144627.77777777778,21055.11111111111,149641944.44444445,8351465.277777778,13.283333333333333,2994.3888888888887,6088133333.333333,3448709.722222222,4332074.666666667,2.937222222222222,11.327777777777778
H,109.0,33482.28571428572,11.994285714285715,1019952857.1428572,5.482857142857142,68737857142.85715,11255100000.0,10546285714.285715,46359300000.0,59234285714.28571,7628.571428571428,1.7857142857142858,1.0857142857142856,4057.1428571428573,49771.42857142857,25594.571428571428,48428142857.14286,2.6142857142857143,16.330000000000002,5.1000000000000005,139573.85714285713,723057.1428571428,9.942857142857141,1968571.4285714286,38.901428571428575,172371428.57142857,0.5785714285714285,2007271428.5714285,571428.5714285715,1466842857.142857,461571428.5714286,7207142857.142858,62528.57142857143,6740.0,19514.285714285714,5884.285714285715,15814285.714285715,4571895.428571428,19.214285714285715,1233.7142857142858,19992091428.57143,1131457.142857143,2081528.5714285714,1.5885714285714285,5.871428571428572
I,116.5,973422.75,18.4575,-1320512500.0,7.0725,174941625000.0,139715250000.0,144302625000.0,83180250000.0,828334125000.0,16262.5,10.225,0.2625,39312.5,673440.0,460840.875,75712125000.0,5.3,25.673750000000002,7.4625,289200.75,6595125.0,19.525000000000002,81553512.5,73.66624999999999,7732850000.0,2.525,28523625000.0,5395125000.0,7885500000.0,24751875000.0,4147602625000.0,926587.5,624018.75,340321.25,1005317.5,31811065000.0,185627920.25,52.5125,12777.875,35844625000.0,12957600.0,13397750.0,2.3537500000000002,10.1625
